x1,x2,x3,x4,x5,target
12.51,1.73,1.98,20.5,85,b
12.42,2.55,2.27,22,90,b
12.25,1.73,2.12,19,80,b
12.72,1.75,2.28,22.5,84,b
12.22,1.29,33,19,92,b
11.61,1.35,2.7,20,94,b
11.46,3.74,1.82,19.5,107,b
12.52,2.43,2.17,21,88,b
11.76,2.68,2.92,20,103,b
11.41,0.74,2.5,21,88,b
12.08,1.39,2.5,22.5,84,b
11.03,1.51,2.2,21.5,85,b
11.82,1.47,1.99,20.8,86,b
12.42,1.61,2.19,22.5,108,b
12.77,3.43,1.98,16,80,b
12,3.43,2,19,87,b
11.45,2.4,2.42,20,96,b
11.56,2.05,3.23,28.5,119,b
12.42,4.43,2.73,26.5,102,b
13.05,5.8,2.13,21.5,86,b
11.87,4.31,2.39,21,82,b
12.07,2.16,2.17,21,85,b
12.43,1.53,2.29,21.5,86,b
11.79,2.13,2.78,28.5,92,b
12.37,1.63,2.3,24.5,88,b
12.04,4.3,2.38,22,80,b
12.86,1.35,2.32,18,122,c
12.88,2.99,2.4,20,104,c
12.81,2.31,2.4,24,98,c
12.7,3.55,2.36,21.5,106,c
12.51,1.24,2.25,17.5,85,c
12.6,2.46,2.2,18.5,94,c
12.25,4.72,2.54,21,89,c
12.53,5.51,2.64,25,96,c
13.49,3.59,2.19,19.5,88,c
12.84,2.96,2.61,24,101,c
12.93,2.81,2.7,21,96,c
13.36,2.56,2.35,20,89,c
13.52,3.17,2.72,23.5,97,c
13.62,4.95,2.35,20,92,c
12.25,3.88,2.2,18.5,112,c
13.16,3.57,2.15,21,102,c
13.88,5.04,2.23,20,80,c
12.87,4.61,2.48,21.5,86,c
13.32,3.24,2.38,21.5,92,c
13.08,3.9,2.36,21.5,113,c
13.5,3.12,88.2,24,123,c
12.79,2.67,2.48,22,112,c
13.11,1.9,2.75,25.5,116,c
13.23,3.3,2.28,18.5,98,c
12.58,1.29,2.1,20,103,c
13.17,5.19,2.32,22,93,c
13.84,4.12,2.38,19.5,89,c
12.45,3.03,2.64,27,97,c
14.34,1.68,2.7,25,98,c
99.99,1.67,2.64,22.5,89,c
12.36,3.83,2.38,21,88,c
13.69,3.26,2.54,20,107,c
12.85,3.27,2.58,22,106,c
12.96,3.45,111,18.5,106,c
13.78,2.76,2.3,22,15,c
31.33,4.36,2.26,22.5,88,c
